注文ID,注文日,顧客ID,商品ID,商品名,カテゴリ,単価,数量,小計,割引率,割引額,売上金額,地域,支払方法
ORD00054,2024-03-13,C0244,P006,外付けHDD,記憶媒体,10000,3,30000,0,0,30000,仙台,代引き
ORD00055,2024-03-26,C0012,P002,モニター,電子機器,35000,3,105000,5,5250,99750,札幌,銀行振込
ORD00056,2024-05-07,C0806,P002,モニター,電子機器,35000,2,70000,0,0,70000,大阪,クレジットカード
ORD00057,2024-01-25,C0993,P007,プリンター,周辺機器,25000,2,50000,5,2500,47500,名古屋,コンビニ払い
ORD00058,2024-09-09,C0385,P007,プリンター,周辺機器,25000,2,50000,10,5000,45000,大阪,コンビニ払い
ORD00059,2024-10-22,C0076,P004,マウス,周辺機器,3000,1,3000,5,150,2850,東京,代引き
ORD00060,2024-01-11,C0076,P006,外付けHDD,記憶媒体,10000,2,20000,0,0,20000,仙台,銀行振込
ORD00061,2024-07-11,C0561,P003,キーボード,周辺機器,8000,3,24000,0,0,24000,大阪,代引き
ORD00062,2024-10-31,C0442,P010,スマートフォン,電子機器,80000,4,320000,0,0,320000,名古屋,コンビニ払い
ORD00063,2024-03-21,C0211,P001,ノートPC,電子機器,120000,1,120000,0,0,120000,福岡,コンビニ払い
ORD00064,2024-12-22,C0272,P009,タブレット,電子機器,50000,3,150000,20,30000,120000,札幌,代引き
ORD00065,2024-05-01,C0586,P002,モニター,電子機器,35000,1,35000,5,1750,33250,京都,銀行振込
ORD00066,2024-01-28,C0090,P006,外付けHDD,記憶媒体,10000,1,10000,5,500,9500,札幌,コンビニ払い
ORD00067,2024-04-12,C0175,P002,モニター,電子機器,35000,1,35000,0,0,35000,札幌,クレジットカード
ORD00068,2024-08-30,C0483,P002,モニター,電子機器,35000,2,70000,5,3500,66500,京都,代引き
ORD00069,2024-02-16,C0380,P009,タブレット,電子機器,50000,2,100000,0,0,100000,広島,代引き
ORD00070,2024-04-05,C0451,P008,スキャナー,周辺機器,20000,1,20000,0,0,20000,京都,代引き
ORD00071,2024-04-25,C0155,P005,USBメモリ,記憶媒体,2000,3,6000,0,0,6000,大阪,クレジットカード
ORD00072,2024-12-08,C0995,P006,外付けHDD,記憶媒体,10000,3,30000,15,4500,25500,福岡,クレジットカード
ORD00073,2024-07-17,C0704,P009,タブレット,電子機器,50000,2,100000,20,20000,80000,京都,銀行振込
ORD00074,2024-08-31,C0925,P005,USBメモリ,記憶媒体,2000,1,2000,5,100,1900,東京,銀行振込
ORD00075,2024-03-02,C0996,P008,スキャナー,周辺機器,20000,1,20000,0,0,20000,福岡,銀行振込
ORD00076,2024-03-05,C0700,P001,ノートPC,電子機器,120000,4,480000,0,0,480000,広島,銀行振込
ORD00077,2024-11-17,C0328,P003,キーボード,周辺機器,8000,3,24000,0,0,24000,大阪,クレジットカード
ORD00078,2024-07-17,C0334,P009,タブレット,電子機器,50000,2,100000,20,20000,80000,札幌,コンビニ払い
ORD00079,2024-01-07,C0801,P010,スマートフォン,電子機器,80000,3,240000,10,24000,216000,広島,クレジットカード
ORD00080,2024-07-31,C0603,P003,キーボード,周辺機器,8000,1,8000,20,1600,6400,大阪,クレジットカード
ORD00081,2024-10-15,C0902,P002,モニター,電子機器,35000,3,105000,10,10500,94500,仙台,コンビニ払い
ORD00082,2024-05-15,C0586,P007,プリンター,周辺機器,25000,3,75000,5,3750,71250,京都,クレジットカード
ORD00083,2024-03-29,C0634,P005,USBメモリ,記憶媒体,2000,2,4000,0,0,4000,広島,クレジットカード
ORD00084,2024-07-21,C0051,P006,外付けHDD,記憶媒体,10000,3,30000,5,1500,28500,京都,代引き
ORD00085,2024-07-09,C0319,P001,ノートPC,電子機器,120000,2,240000,10,24000,216000,札幌,コンビニ払い
ORD00086,2024-12-22,C0308,P002,モニター,電子機器,35000,1,35000,5,1750,33250,京都,代引き
ORD00087,2024-05-17,C0193,P007,プリンター,周辺機器,25000,3,75000,0,0,75000,京都,銀行振込
ORD00088,2024-07-27,C0841,P008,スキャナー,周辺機器,20000,3,60000,10,6000,54000,東京,銀行振込
ORD00089,2024-02-03,C0414,P005,USBメモリ,記憶媒体,2000,3,6000,10,600,5400,名古屋,クレジットカード
ORD00090,2024-03-29,C0256,P004,マウス,周辺機器,3000,1,3000,0,0,3000,東京,コンビニ払い
ORD00091,2024-01-26,C0281,P006,外付けHDD,記憶媒体,10000,3,30000,0,0,30000,仙台,コンビニ払い
ORD00092,2024-09-15,C0698,P007,プリンター,周辺機器,25000,3,75000,0,0,75000,東京,銀行振込
ORD00093,2024-07-09,C0182,P008,スキャナー,周辺機器,20000,3,60000,15,9000,51000,京都,代引き
ORD00094,2024-06-25,C0292,P003,キーボード,周辺機器,8000,2,16000,0,0,16000,東京,コンビニ払い
ORD00095,2024-01-26,C0878,P003,キーボード,周辺機器,8000,3,24000,0,0,24000,福岡,銀行振込
ORD00096,2024-12-12,C0526,P004,マウス,周辺機器,3000,2,6000,15,900,5100,東京,クレジットカード
ORD00097,2024-08-30,C0616,P003,キーボード,周辺機器,8000,3,24000,0,0,24000,東京,銀行振込
ORD00098,2024-05-09,C0434,P010,スマートフォン,電子機器,80000,2,160000,0,0,160000,広島,代引き
ORD00099,2024-08-23,C0310,P005,USBメモリ,記憶媒体,2000,1,2000,5,100,1900,広島,クレジットカード
ORD00100,2024-01-04,C0575,P009,タブレット,電子機器,50000,3,150000,0,0,150000,札幌,代引き
ORD00101,2024-12-16,C0345,P002,モニター,電子機器,35000,2,70000,0,0,70000,札幌,代引き
ORD00102,2024-05-21,C0193,P005,USBメモリ,記憶媒体,2000,3,6000,0,0,6000,名古屋,銀行振込
ORD00103,2024-01-30,C0698,P010,スマートフォン,電子機器,80000,2,160000,0,0,160000,名古屋,クレジットカード
ORD00104,2024-12-01,C0929,P008,スキャナー,周辺機器,20000,2,40000,10,4000,36000,広島,コンビニ払い
ORD00105,2024-07-17,C0836,P001,ノートPC,電子機器,120000,3,360000,20,72000,288000,福岡,代引き
ORD00106,2024-04-23,C0520,P009,タブレット,電子機器,50000,4,200000,0,0,200000,札幌,銀行振込
ORD00107,2024-12-02,C0100,P009,タブレット,電子機器,50000,1,50000,10,5000,45000,京都,銀行振込
ORD00108,2024-05-12,C0671,P009,タブレット,電子機器,50000,1,50000,0,0,50000,大阪,銀行振込
ORD00109,2024-06-30,C0431,P004,マウス,周辺機器,3000,3,9000,0,0,9000,仙台,代引き
ORD00110,2024-05-13,C0872,P010,スマートフォン,電子機器,80000,2,160000,5,8000,152000,大阪,コンビニ払い
ORD00111,2024-01-28,C0073,P010,スマートフォン,電子機器,80000,3,240000,10,24000,216000,京都,銀行振込
ORD00112,2024-09-13,C0306,P002,モニター,電子機器,35000,4,140000,10,14000,126000,広島,クレジットカード
ORD00113,2024-03-18,C0420,P003,キーボード,周辺機器,8000,1,8000,0,0,8000,京都,銀行振込
ORD00114,2024-06-10,C0341,P003,キーボード,周辺機器,8000,1,8000,5,400,7600,名古屋,代引き
ORD00115,2024-11-20,C0281,P001,ノートPC,電子機器,120000,1,120000,5,6000,114000,福岡,銀行振込
ORD00116,2024-10-22,C0133,P003,キーボード,周辺機器,8000,2,16000,0,0,16000,広島,コンビニ払い
ORD00117,2024-07-25,C0005,P007,プリンター,周辺機器,25000,2,50000,15,7500,42500,東京,銀行振込
ORD00118,2024-07-10,C0196,P001,ノートPC,電子機器,120000,2,240000,20,48000,192000,東京,クレジットカード
ORD00119,2024-11-16,C0320,P004,マウス,周辺機器,3000,1,3000,0,0,3000,名古屋,クレジットカード
ORD00120,2024-07-15,C0172,P009,タブレット,電子機器,50000,3,150000,10,15000,135000,大阪,クレジットカード
ORD00121,2024-06-01,C0611,P005,USBメモリ,記憶媒体,2000,2,4000,10,400,3600,仙台,コンビニ払い
ORD00122,2024-12-17,C0368,P003,キーボード,周辺機器,8000,2,16000,15,2400,13600,福岡,銀行振込
ORD00123,2024-07-25,C0745,P001,ノートPC,電子機器,120000,1,120000,5,6000,114000,名古屋,銀行振込
ORD00124,2024-01-12,C0127,P010,スマートフォン,電子機器,80000,3,240000,0,0,240000,仙台,クレジットカード
ORD00125,2024-07-11,C0050,P005,USBメモリ,記憶媒体,2000,3,6000,20,1200,4800,東京,クレジットカード
ORD00126,2024-11-30,C0427,P001,ノートPC,電子機器,120000,1,120000,0,0,120000,京都,コンビニ払い
ORD00127,2024-03-04,C0719,P009,タブレット,電子機器,50000,3,150000,5,7500,142500,名古屋,銀行振込
ORD00128,2024-12-21,C0678,P001,ノートPC,電子機器,120000,2,240000,15,36000,204000,大阪,代引き
ORD00129,2024-11-14,C0429,P010,スマートフォン,電子機器,80000,3,240000,0,0,240000,大阪,クレジットカード
ORD00130,2024-05-24,C0204,P002,モニター,電子機器,35000,1,35000,5,1750,33250,福岡,代引き
ORD00131,2024-09-24,C0303,P004,マウス,周辺機器,3000,2,6000,5,300,5700,名古屋,クレジットカード
ORD00132,2024-10-07,C0339,P008,スキャナー,周辺機器,20000,1,20000,5,1000,19000,福岡,クレジットカード
ORD00133,2024-01-07,C0686,P002,モニター,電子機器,35000,1,35000,10,3500,31500,京都,銀行振込
ORD00134,2024-02-16,C0927,P009,タブレット,電子機器,50000,1,50000,0,0,50000,札幌,銀行振込
ORD00135,2024-08-21,C0052,P005,USBメモリ,記憶媒体,2000,2,4000,5,200,3800,大阪,銀行振込
ORD00136,2024-01-21,C0437,P005,USBメモリ,記憶媒体,2000,2,4000,0,0,4000,大阪,クレジットカード
ORD00137,2024-01-24,C0337,P001,ノートPC,電子機器,120000,1,120000,0,0,120000,仙台,コンビニ払い
ORD00138,2024-11-14,C0382,P005,USBメモリ,記憶媒体,2000,3,6000,0,0,6000,仙台,銀行振込
ORD00139,2024-02-28,C0279,P007,プリンター,周辺機器,25000,2,50000,5,2500,47500,広島,コンビニ払い
ORD00140,2024-08-03,C0713,P003,キーボード,周辺機器,8000,1,8000,0,0,8000,東京,銀行振込
ORD00141,2024-02-23,C0822,P007,プリンター,周辺機器,25000,3,75000,5,3750,71250,京都,銀行振込
ORD00142,2024-11-08,C0030,P007,プリンター,周辺機器,25000,2,50000,10,5000,45000,名古屋,コンビニ払い
ORD00143,2024-09-06,C0048,P002,モニター,電子機器,35000,4,140000,5,7000,133000,大阪,代引き
ORD00144,2024-12-01,C0786,P006,外付けHDD,記憶媒体,10000,1,10000,20,2000,8000,福岡,代引き
ORD00145,2024-09-22,C0444,P009,タブレット,電子機器,50000,5,250000,0,0,250000,福岡,コンビニ払い
ORD00146,2024-06-26,C0914,P007,プリンター,周辺機器,25000,1,25000,10,2500,22500,東京,クレジットカード
ORD00147,2024-11-25,C0873,P003,キーボード,周辺機器,8000,3,24000,5,1200,22800,京都,銀行振込
ORD00148,2024-02-08,C0339,P008,スキャナー,周辺機器,20000,2,40000,0,0,40000,札幌,クレジットカード
ORD00149,2024-09-16,C0413,P004,マウス,周辺機器,3000,3,9000,5,450,8550,福岡,クレジットカード
ORD00150,2024-08-23,C0091,P008,スキャナー,周辺機器,20000,3,60000,5,3000,57000,京都,コンビニ払い
ORD00151,2024-06-10,C0106,P002,モニター,電子機器,35000,2,70000,0,0,70000,広島,コンビニ払い
ORD00152,2024-01-19,C0846,P009,タブレット,電子機器,50000,3,150000,0,0,150000,大阪,代引き
ORD00153,2024-09-17,C0974,P009,タブレット,電子機器,50000,2,100000,5,5000,95000,仙台,代引き
ORD00154,2024-01-28,C0574,P004,マウス,周辺機器,3000,2,6000,0,0,6000,京都,代引き
ORD00155,2024-08-19,C0003,P002,モニター,電子機器,35000,1,35000,0,0,35000,仙台,代引き
ORD00156,2024-11-20,C0383,P005,USBメモリ,記憶媒体,2000,3,6000,10,600,5400,大阪,クレジットカード
ORD00157,2024-03-25,C0110,P008,スキャナー,周辺機器,20000,1,20000,5,1000,19000,札幌,銀行振込
ORD00158,2024-04-06,C0469,P002,モニター,電子機器,35000,4,140000,0,0,140000,福岡,代引き
ORD00159,2024-02-25,C0127,P007,プリンター,周辺機器,25000,1,25000,10,2500,22500,京都,コンビニ払い
ORD00160,2024-12-03,C0987,P010,スマートフォン,電子機器,80000,3,240000,5,12000,228000,京都,クレジットカード
ORD00161,2024-09-28,C0859,P001,ノートPC,電子機器,120000,5,600000,5,30000,570000,京都,銀行振込
ORD00162,2024-12-20,C0107,P010,スマートフォン,電子機器,80000,1,80000,5,4000,76000,広島,代引き
ORD00163,2024-09-15,C0938,P007,プリンター,周辺機器,25000,2,50000,10,5000,45000,福岡,代引き
ORD00164,2024-07-22,C0825,P006,外付けHDD,記憶媒体,10000,2,20000,15,3000,17000,名古屋,銀行振込
ORD00165,2024-07-30,C0307,P010,スマートフォン,電子機器,80000,3,240000,20,48000,192000,仙台,銀行振込
ORD00166,2024-04-12,C0704,P004,マウス,周辺機器,3000,3,9000,0,0,9000,仙台,銀行振込
ORD00167,2024-12-29,C0711,P003,キーボード,周辺機器,8000,3,24000,20,4800,19200,仙台,クレジットカード
ORD00168,2024-06-29,C0585,P009,タブレット,電子機器,50000,2,100000,10,10000,90000,広島,代引き
ORD00169,2024-08-04,C0026,P001,ノートPC,電子機器,120000,3,360000,0,0,360000,広島,銀行振込
ORD00170,2024-01-28,C0769,P001,ノートPC,電子機器,120000,1,120000,0,0,120000,名古屋,代引き
ORD00171,2024-12-15,C0708,P005,USBメモリ,記憶媒体,2000,1,2000,0,0,2000,札幌,銀行振込
ORD00172,2024-10-04,C0105,P001,ノートPC,電子機器,120000,3,360000,5,18000,342000,福岡,コンビニ払い
ORD00173,2024-05-01,C0710,P009,タブレット,電子機器,50000,3,150000,0,0,150000,東京,コンビニ払い
ORD00174,2024-07-17,C0990,P007,プリンター,周辺機器,25000,3,75000,10,7500,67500,東京,クレジットカード
ORD00175,2024-05-08,C0850,P004,マウス,周辺機器,3000,3,9000,5,450,8550,福岡,代引き
ORD00176,2024-10-28,C0795,P009,タブレット,電子機器,50000,5,250000,0,0,250000,福岡,代引き
ORD00177,2024-08-17,C0192,P003,キーボード,周辺機器,8000,3,24000,0,0,24000,名古屋,クレジットカード
ORD00178,2024-07-12,C0570,P001,ノートPC,電子機器,120000,2,240000,10,24000,216000,札幌,銀行振込
ORD00179,2024-03-23,C0339,P010,スマートフォン,電子機器,80000,3,240000,0,0,240000,京都,銀行振込
ORD00180,2024-01-21,C0053,P003,キーボード,周辺機器,8000,2,16000,10,1600,14400,札幌,コンビニ払い
ORD00181,2024-10-20,C0803,P009,タブレット,電子機器,50000,3,150000,0,0,150000,仙台,銀行振込
ORD00182,2024-04-04,C0164,P009,タブレット,電子機器,50000,1,50000,10,5000,45000,広島,コンビニ払い
ORD00183,2024-02-17,C0680,P006,外付けHDD,記憶媒体,10000,1,10000,0,0,10000,仙台,代引き
ORD00184,2024-07-03,C0544,P005,USBメモリ,記憶媒体,2000,1,2000,20,400,1600,京都,クレジットカード
ORD00185,2024-02-28,C0927,P006,外付けHDD,記憶媒体,10000,2,20000,0,0,20000,福岡,クレジットカード
ORD00186,2024-12-15,C0396,P006,外付けHDD,記憶媒体,10000,2,20000,0,0,20000,札幌,代引き
ORD00187,2024-01-13,C0823,P009,タブレット,電子機器,50000,2,100000,10,10000,90000,京都,コンビニ払い
ORD00188,2024-01-23,C0329,P005,USBメモリ,記憶媒体,2000,3,6000,0,0,6000,大阪,クレジットカード
ORD00189,2024-03-26,C0642,P009,タブレット,電子機器,50000,5,250000,0,0,250000,大阪,銀行振込
ORD00190,2024-12-09,C0856,P004,マウス,周辺機器,3000,3,9000,15,1350,7650,大阪,銀行振込
ORD00191,2024-10-02,C0765,P007,プリンター,周辺機器,25000,3,75000,0,0,75000,名古屋,クレジットカード
ORD00192,2024-08-23,C0076,P006,外付けHDD,記憶媒体,10000,1,10000,0,0,10000,東京,銀行振込
ORD00193,2024-05-08,C0842,P009,タブレット,電子機器,50000,1,50000,10,5000,45000,福岡,代引き
ORD00194,2024-07-27,C0444,P007,プリンター,周辺機器,25000,2,50000,15,7500,42500,仙台,クレジットカード
ORD00195,2024-07-18,C0657,P002,モニター,電子機器,35000,3,105000,0,0,105000,大阪,クレジットカード
ORD00196,2024-12-24,C0109,P002,モニター,電子機器,35000,2,70000,20,14000,56000,札幌,代引き
ORD00197,2024-11-06,C0391,P002,モニター,電子機器,35000,2,70000,5,3500,66500,広島,クレジットカード
ORD00198,2024-08-30,C0140,P003,キーボード,周辺機器,8000,3,24000,0,0,24000,広島,代引き
ORD00199,2024-11-20,C0981,P003,キーボード,周辺機器,8000,2,16000,0,0,16000,東京,銀行振込
ORD00200,2024-03-04,C0611,P001,ノートPC,電子機器,120000,1,120000,10,12000,108000,広島,クレジットカード
ORD00201,2024-06-05,C0217,P004,マウス,周辺機器,3000,3,9000,0,0,9000,広島,銀行振込
ORD00202,2024-03-23,C0855,P003,キーボード,周辺機器,8000,1,8000,10,800,7200,札幌,銀行振込
ORD00203,2024-02-28,C0873,P003,キーボード,周辺機器,8000,3,24000,10,2400,21600,東京,コンビニ払い
ORD00204,2024-11-26,C0688,P009,タブレット,電子機器,50000,1,50000,0,0,50000,大阪,代引き
ORD00205,2024-02-20,C0499,P004,マウス,周辺機器,3000,3,9000,10,900,8100,仙台,代引き
ORD00206,2024-03-06,C0635,P004,マウス,周辺機器,3000,1,3000,0,0,3000,大阪,銀行振込
ORD00207,2024-06-11,C0632,P008,スキャナー,周辺機器,20000,2,40000,0,0,40000,札幌,銀行振込
ORD00208,2024-10-16,C0982,P010,スマートフォン,電子機器,80000,3,240000,0,0,240000,広島,銀行振込
ORD00209,2024-01-03,C0730,P006,外付けHDD,記憶媒体,10000,1,10000,0,0,10000,広島,代引き
ORD00210,2024-07-03,C0899,P003,キーボード,周辺機器,8000,3,24000,10,2400,21600,京都,コンビニ払い
ORD00211,2024-08-16,C0565,P006,外付けHDD,記憶媒体,10000,2,20000,5,1000,19000,大阪,銀行振込
ORD00212,2024-11-26,C0880,P010,スマートフォン,電子機器,80000,1,80000,0,0,80000,名古屋,銀行振込
ORD00213,2024-05-14,C0914,P002,モニター,電子機器,35000,3,105000,0,0,105000,東京,クレジットカード
ORD00214,2024-10-24,C0218,P010,スマートフォン,電子機器,80000,4,320000,10,32000,288000,東京,代引き
ORD00215,2024-10-05,C0375,P009,タブレット,電子機器,50000,4,200000,0,0,200000,広島,銀行振込
ORD00216,2024-10-28,C0514,P005,USBメモリ,記憶媒体,2000,1,2000,5,100,1900,大阪,コンビニ払い
ORD00217,2024-07-05,C0869,P009,タブレット,電子機器,50000,1,50000,5,2500,47500,名古屋,銀行振込
ORD00218,2024-08-16,C0972,P003,キーボード,周辺機器,8000,1,8000,10,800,7200,名古屋,コンビニ払い
ORD00219,2024-07-02,C0238,P001,ノートPC,電子機器,120000,1,120000,15,18000,102000,大阪,代引き
ORD00220,2024-07-08,C0531,P004,マウス,周辺機器,3000,1,3000,5,150,2850,仙台,コンビニ払い
ORD00221,2024-08-28,C0665,P008,スキャナー,周辺機器,20000,1,20000,0,0,20000,仙台,クレジットカード
ORD00222,2024-12-26,C0855,P009,タブレット,電子機器,50000,3,150000,10,15000,135000,札幌,銀行振込
ORD00223,2024-07-11,C0670,P007,プリンター,周辺機器,25000,2,50000,20,10000,40000,大阪,代引き
ORD00224,2024-07-11,C0362,P004,マウス,周辺機器,3000,3,9000,15,1350,7650,仙台,コンビニ払い
ORD00225,2024-09-03,C0904,P010,スマートフォン,電子機器,80000,1,80000,10,8000,72000,名古屋,コンビニ払い
ORD00226,2024-03-25,C0659,P004,マウス,周辺機器,3000,1,3000,10,300,2700,札幌,銀行振込
ORD00227,2024-03-17,C0617,P003,キーボード,周辺機器,8000,1,8000,0,0,8000,大阪,銀行振込
ORD00228,2024-07-31,C0494,P006,外付けHDD,記憶媒体,10000,3,30000,0,0,30000,京都,コンビニ払い
ORD00229,2024-04-17,C0023,P010,スマートフォン,電子機器,80000,2,160000,5,8000,152000,福岡,クレジットカード
ORD00230,2024-03-06,C0138,P010,スマートフォン,電子機器,80000,5,400000,0,0,400000,東京,銀行振込
ORD00231,2024-01-29,C0530,P003,キーボード,周辺機器,8000,2,16000,0,0,16000,広島,クレジットカード
ORD00232,2024-12-04,C0460,P005,USBメモリ,記憶媒体,2000,1,2000,5,100,1900,京都,コンビニ払い
ORD00233,2024-03-28,C0147,P004,マウス,周辺機器,3000,2,6000,10,600,5400,名古屋,代引き
ORD00234,2024-03-26,C0605,P006,外付けHDD,記憶媒体,10000,2,20000,10,2000,18000,大阪,銀行振込
ORD00235,2024-07-12,C0017,P007,プリンター,周辺機器,25000,1,25000,0,0,25000,福岡,コンビニ払い
ORD00236,2024-03-17,C0488,P010,スマートフォン,電子機器,80000,1,80000,0,0,80000,東京,クレジットカード
ORD00237,2024-02-17,C0924,P008,スキャナー,周辺機器,20000,3,60000,0,0,60000,東京,コンビニ払い
ORD00238,2024-09-24,C0715,P007,プリンター,周辺機器,25000,2,50000,0,0,50000,広島,銀行振込
ORD00239,2024-09-03,C0824,P007,プリンター,周辺機器,25000,2,50000,10,5000,45000,大阪,コンビニ払い
ORD00240,2024-03-09,C0932,P005,USBメモリ,記憶媒体,2000,2,4000,0,0,4000,大阪,代引き
ORD00241,2024-11-02,C0194,P009,タブレット,電子機器,50000,2,100000,0,0,100000,東京,クレジットカード
ORD00242,2024-10-22,C0008,P009,タブレット,電子機器,50000,1,50000,10,5000,45000,広島,銀行振込
ORD00243,2024-12-18,C0110,P006,外付けHDD,記憶媒体,10000,2,20000,10,2000,18000,名古屋,コンビニ払い
ORD00244,2024-11-29,C0876,P010,スマートフォン,電子機器,80000,2,160000,0,0,160000,広島,代引き
